window_size,send_max_try,request_count,simulation_duration_s,simulator_accuracy,node_count,edge_probability,memory_size,query_time_s,link_rate_pairs_s,link_delay_s,link_buffer,repetitions,seeds,algorithm,congestion_history_weight,mean_request_throughput_pairs_s,throughput_std_pairs_s,total_edr_pairs_s,edr_std_pairs_s,mean_completed_pairs,mean_dropped_pairs,dropped_std_pairs,mean_in_flight_pairs,mean_edr_cv,edr_cv_std,throughput_change_pct_vs_historical,edr_change_pct_vs_historical
1,1,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,3,101;202;303,historical_only,1.000000,19.520000,0.000000,97.600000,0.000000,976.000000,0.000000,0.000000,10.666667,0.002049,0.000000,0.000000,0.000000
1,1,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,3,101;202;303,real_time_memory_aware,0.500000,19.520000,0.000000,97.600000,0.000000,976.000000,0.000000,0.000000,10.666667,0.002049,0.000000,0.000000,0.000000
1,2,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,3,101;202;303,historical_only,1.000000,19.520000,0.000000,97.600000,0.000000,976.000000,0.000000,0.000000,10.666667,0.002049,0.000000,0.000000,0.000000
1,2,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,3,101;202;303,real_time_memory_aware,0.500000,19.520000,0.000000,97.600000,0.000000,976.000000,0.000000,0.000000,10.666667,0.002049,0.000000,0.000000,0.000000
1,3,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,3,101;202;303,historical_only,1.000000,19.520000,0.000000,97.600000,0.000000,976.000000,0.000000,0.000000,10.666667,0.002049,0.000000,0.000000,0.000000
1,3,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,3,101;202;303,real_time_memory_aware,0.500000,19.520000,0.000000,97.600000,0.000000,976.000000,0.000000,0.000000,10.666667,0.002049,0.000000,0.000000,0.000000
1,4,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,3,101;202;303,historical_only,1.000000,19.520000,0.000000,97.600000,0.000000,976.000000,0.000000,0.000000,10.666667,0.002049,0.000000,0.000000,0.000000
1,4,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,3,101;202;303,real_time_memory_aware,0.500000,19.520000,0.000000,97.600000,0.000000,976.000000,0.000000,0.000000,10.666667,0.002049,0.000000,0.000000,0.000000
1,5,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,3,101;202;303,historical_only,1.000000,19.520000,0.000000,97.600000,0.000000,976.000000,0.000000,0.000000,10.666667,0.002049,0.000000,0.000000,0.000000
1,5,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,3,101;202;303,real_time_memory_aware,0.500000,19.520000,0.000000,97.600000,0.000000,976.000000,0.000000,0.000000,10.666667,0.002049,0.000000,0.000000,0.000000
1,6,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,3,101;202;303,historical_only,1.000000,19.520000,0.000000,97.600000,0.000000,976.000000,0.000000,0.000000,10.666667,0.002049,0.000000,0.000000,0.000000
1,6,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,3,101;202;303,real_time_memory_aware,0.500000,19.520000,0.000000,97.600000,0.000000,976.000000,0.000000,0.000000,10.666667,0.002049,0.000000,0.000000,0.000000
1,7,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,3,101;202;303,historical_only,1.000000,19.520000,0.000000,97.600000,0.000000,976.000000,0.000000,0.000000,10.666667,0.002049,0.000000,0.000000,0.000000
